,Date,Open,High,Low,Close,Volume,Adj Close
0,2017-05-05,2392.3701170000004,2399.290039,2389.3798829999996,2399.290039,3540140000,2399.290039
1,2017-05-04,2389.790039,2391.429932,2380.350098,2389.52002,4362540000,2389.52002
2,2017-05-03,2386.5,2389.820068,2379.75,2388.1298829999996,3893990000,2388.1298829999996
3,2017-05-02,2391.050049,2392.929932,2385.820068,2391.169922,3813680000,2391.169922
4,2017-05-01,2388.5,2394.48999,2384.830078,2388.330078,3199240000,2388.330078
5,2017-04-28,2393.679932,2393.679932,2382.360107,2384.199951,3718270000,2384.199951
6,2017-04-27,2389.699951,2392.100098,2382.679932,2388.77002,4098460000,2388.77002
7,2017-04-26,2388.97998,2398.159912,2386.780029,2387.449951,4105920000,2387.449951
8,2017-04-25,2381.51001,2392.47998,2381.149902,2388.610107,3995240000,2388.610107
9,2017-04-24,2370.330078,2376.97998,2369.189941,2374.149902,3690650000,2374.149902
10,2017-04-21,2354.73999,2356.179932,2344.51001,2348.689941,3503360000,2348.689941
11,2017-04-20,2342.689941,2361.3701170000004,2340.909912,2355.840088,3647420000,2355.840088
12,2017-04-19,2346.790039,2352.6298829999996,2335.050049,2338.169922,3519900000,2338.169922
13,2017-04-18,2342.530029,2348.350098,2334.540039,2342.189941,3269840000,2342.189941
14,2017-04-17,2332.6201170000004,2349.139893,2332.51001,2349.01001,2824710000,2349.01001
15,2017-04-13,2341.97998,2348.26001,2328.949951,2328.949951,3143890000,2328.949951
16,2017-04-12,2352.149902,2352.719971,2341.179932,2344.929932,3196950000,2344.929932
17,2017-04-11,2353.919922,2355.219971,2337.25,2353.780029,3117420000,2353.780029
18,2017-04-10,2357.159912,2366.3701170000004,2351.5,2357.159912,2785410000,2357.159912
19,2017-04-07,2356.590088,2363.76001,2350.73999,2355.540039,3053150000,2355.540039
20,2017-04-06,2353.790039,2364.159912,2348.899902,2357.48999,3201920000,2357.48999
21,2017-04-05,2366.590088,2378.360107,2350.52002,2352.949951,3770520000,2352.949951
22,2017-04-04,2354.76001,2360.530029,2350.719971,2360.159912,3206240000,2360.159912
23,2017-04-03,2362.340088,2365.8701170000004,2344.72998,2358.840088,3416400000,2358.840088
24,2017-03-31,2364.820068,2370.350098,2362.600098,2362.719971,3354110000,2362.719971
25,2017-03-30,2361.310059,2370.419922,2358.580078,2368.060059,3158420000,2368.060059
26,2017-03-29,2356.540039,2363.360107,2352.939941,2361.1298829999996,3106940000,2361.1298829999996
27,2017-03-28,2339.790039,2363.780029,2337.6298829999996,2358.570068,3367780000,2358.570068
28,2017-03-27,2329.110107,2344.899902,2322.25,2341.590088,3240230000,2341.590088
29,2017-03-24,2350.419922,2356.219971,2335.73999,2343.97998,2975130000,2343.97998
30,2017-03-23,2345.969971,2358.919922,2342.1298829999996,2345.959961,3260600000,2345.959961
31,2017-03-22,2343.0,2351.810059,2336.449951,2348.449951,3572730000,2348.449951
32,2017-03-21,2379.320068,2381.929932,2341.899902,2344.02002,4265590000,2344.02002
33,2017-03-20,2378.23999,2379.550049,2369.659912,2373.469971,3054930000,2373.469971
34,2017-03-17,2383.709961,2385.709961,2377.639893,2378.25,5178040000,2378.25
35,2017-03-16,2387.709961,2388.100098,2377.179932,2381.3798829999996,3365660000,2381.3798829999996
36,2017-03-15,2370.340088,2390.01001,2368.939941,2385.26001,3906840000,2385.26001
37,2017-03-14,2368.550049,2368.550049,2358.179932,2365.449951,3172630000,2365.449951
38,2017-03-13,2371.560059,2374.419922,2368.52002,2373.469971,3133900000,2373.469971
39,2017-03-10,2372.52002,2376.860107,2363.040039,2372.600098,3432950000,2372.600098
40,2017-03-09,2363.48999,2369.080078,2354.540039,2364.8701170000004,3716340000,2364.8701170000004
41,2017-03-08,2369.810059,2373.090088,2361.01001,2362.97998,3812100000,2362.97998
42,2017-03-07,2370.73999,2375.1201170000004,2365.51001,2368.389893,3518390000,2368.389893
43,2017-03-06,2375.22998,2378.800049,2367.97998,2375.310059,3232700000,2375.310059
44,2017-03-03,2380.919922,2383.889893,2375.389893,2383.1201170000004,3555260000,2383.1201170000004
45,2017-03-02,2394.75,2394.75,2380.169922,2381.919922,3821320000,2381.919922
46,2017-03-01,2380.1298829999996,2400.97998,2380.1298829999996,2395.959961,4345180000,2395.959961
47,2017-02-28,2366.080078,2367.790039,2358.959961,2363.639893,4210140000,2363.639893
48,2017-02-27,2365.22998,2371.540039,2361.8701170000004,2369.72998,3582610000,2369.72998
49,2017-02-24,2355.72998,2367.340088,2352.8701170000004,2367.340088,3831570000,2367.340088
50,2017-02-23,2367.5,2368.26001,2355.090088,2363.810059,4015260000,2363.810059
51,2017-02-22,2361.110107,2365.1298829999996,2358.340088,2362.820068,3468670000,2362.820068
52,2017-02-21,2354.909912,2366.709961,2354.909912,2365.3798829999996,3579780000,2365.3798829999996
53,2017-02-17,2343.01001,2351.159912,2339.580078,2351.159912,3513060000,2351.159912
54,2017-02-16,2349.639893,2351.310059,2338.8701170000004,2347.219971,3672370000,2347.219971
55,2017-02-15,2335.580078,2351.300049,2334.810059,2349.25,3775590000,2349.25
56,2017-02-14,2326.1201170000004,2337.580078,2322.169922,2337.580078,3520910000,2337.580078
57,2017-02-13,2321.719971,2331.580078,2321.419922,2328.25,3349730000,2328.25
58,2017-02-10,2312.27002,2319.22998,2311.100098,2316.100098,3475020000,2316.100098
59,2017-02-09,2296.699951,2311.080078,2296.610107,2307.8701170000004,3677940000,2307.8701170000004
60,2017-02-08,2289.550049,2295.909912,2285.3798829999996,2294.669922,3609740000,2294.669922
61,2017-02-07,2295.8701170000004,2299.399902,2290.159912,2293.080078,3448690000,2293.080078
62,2017-02-06,2294.280029,2296.179932,2288.570068,2292.560059,3109050000,2292.560059
63,2017-02-03,2288.540039,2298.310059,2287.8798829999996,2297.419922,3597970000,2297.419922
64,2017-02-02,2276.689941,2283.969971,2271.649902,2280.850098,3807710000,2280.850098
65,2017-02-01,2285.590088,2289.139893,2272.439941,2279.550049,3916610000,2279.550049
66,2017-01-31,2274.02002,2279.090088,2267.209961,2278.8701170000004,4087450000,2278.8701170000004
67,2017-01-30,2286.01001,2286.01001,2268.040039,2280.899902,3591270000,2280.899902
68,2017-01-27,2299.02002,2299.02002,2291.6201170000004,2294.689941,3135890000,2294.689941
69,2017-01-26,2298.6298829999996,2300.98999,2294.080078,2296.679932,3610360000,2296.679932
70,2017-01-25,2288.8798829999996,2299.550049,2288.8798829999996,2298.3701170000004,3846020000,2298.3701170000004
71,2017-01-24,2267.8798829999996,2284.6298829999996,2266.679932,2280.070068,3810960000,2280.070068
72,2017-01-23,2267.780029,2271.780029,2257.02002,2265.199951,3152710000,2265.199951
73,2017-01-20,2269.959961,2276.959961,2265.01001,2271.310059,3524970000,2271.310059
74,2017-01-19,2271.899902,2274.330078,2258.409912,2263.689941,3165970000,2263.689941
75,2017-01-18,2269.139893,2272.01001,2263.350098,2271.889893,3315250000,2271.889893
76,2017-01-17,2269.139893,2272.080078,2262.810059,2267.889893,3584990000,2267.889893
77,2017-01-13,2272.73999,2278.679932,2271.51001,2274.639893,3081270000,2274.639893
78,2017-01-12,2271.139893,2271.780029,2254.25,2270.439941,3462130000,2270.439941
79,2017-01-11,2268.600098,2275.320068,2260.830078,2275.320068,3620410000,2275.320068
80,2017-01-10,2269.719971,2279.27002,2265.27002,2268.899902,3638790000,2268.899902
81,2017-01-09,2273.590088,2275.48999,2268.899902,2268.899902,3217610000,2268.899902
82,2017-01-06,2271.139893,2282.100098,2264.060059,2276.97998,3339890000,2276.97998
83,2017-01-05,2268.179932,2271.5,2260.449951,2269.0,3761820000,2269.0
84,2017-01-04,2261.600098,2272.820068,2261.600098,2270.75,3764890000,2270.75
85,2017-01-03,2251.570068,2263.8798829999996,2245.1298829999996,2257.830078,3770530000,2257.830078
86,2016-12-30,2251.610107,2253.580078,2233.6201170000004,2238.830078,2670900000,2238.830078
87,2016-12-29,2249.5,2254.51001,2244.560059,2249.26001,2336370000,2249.26001
88,2016-12-28,2270.22998,2271.310059,2249.110107,2249.919922,2392360000,2249.919922
89,2016-12-27,2266.22998,2273.820068,2266.149902,2268.8798829999996,1987080000,2268.8798829999996
90,2016-12-23,2260.25,2263.790039,2258.840088,2263.790039,2020550000,2263.790039
91,2016-12-22,2262.929932,2263.179932,2256.080078,2260.959961,2876320000,2260.959961
92,2016-12-21,2270.540039,2271.22998,2265.149902,2265.179932,2852230000,2265.179932
93,2016-12-20,2266.5,2272.560059,2266.139893,2270.76001,3298780000,2270.76001
94,2016-12-19,2259.23999,2267.469971,2258.209961,2262.530029,3248370000,2262.530029
95,2016-12-16,2266.810059,2268.050049,2254.23999,2258.070068,5920340000,2258.070068
96,2016-12-15,2253.77002,2272.1201170000004,2253.77002,2262.030029,4168200000,2262.030029
97,2016-12-14,2268.350098,2276.199951,2248.439941,2253.280029,4406970000,2253.280029
98,2016-12-13,2263.320068,2277.530029,2263.320068,2271.719971,3857590000,2271.719971
99,2016-12-12,2258.830078,2264.030029,2252.3701170000004,2256.959961,4034510000,2256.959961
